CALENDAR(GMT 9),TIMESTAMP,MACADDR,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
2025-09-18T00:00:00Z,1758121200,60E85BB8254C,6.40,6.40,3007.69,423.00,23.04,87.95,2485.69,29.44
2025-09-18T00:10:00Z,1758121800,60E85BB8254C,7.75,7.75,2944.24,425.00,23.05,87.80,2433.25,35.63
2025-09-18T00:20:00Z,1758122400,60E85BB8254C,6.27,6.27,2928.61,421.00,22.90,88.46,2420.34,28.83
2025-09-18T00:30:00Z,1758123000,60E85BB8254C,6.71,6.71,2991.68,427.00,22.82,88.43,2472.47,30.85
2025-09-18T00:40:00Z,1758123600,60E85BB8254C,8.20,8.20,3056.28,425.00,22.73,88.94,2525.85,37.70
2025-09-18T00:50:00Z,1758124200,60E85BB8254C,8.07,8.07,3072.68,433.00,22.82,88.75,2539.40,37.10
2025-09-18T01:00:00Z,1758124800,60E85BB8254C,9.17,9.17,3039.99,420.00,22.84,88.48,2512.38,42.16
2025-09-18T01:10:00Z,1758125400,60E85BB8254C,10.26,10.26,2851.79,418.00,22.88,88.05,2356.85,47.18
2025-09-18T01:20:00Z,1758126000,60E85BB8254C,11.12,11.12,2704.47,411.00,22.90,87.24,2235.10,51.10
2025-09-18T01:30:00Z,1758126600,60E85BB8254C,9.22,9.22,2675.95,419.00,22.90,87.52,2211.53,42.37
2025-09-18T01:40:00Z,1758127200,60E85BB8254C,10.86,10.86,2718.84,425.00,22.72,88.52,2246.98,49.91
2025-09-18T01:50:00Z,1758127800,60E85BB8254C,8.23,8.23,2851.79,432.00,22.85,88.29,2356.85,37.83
2025-09-18T02:00:00Z,1758128400,60E85BB8254C,10.29,10.29,3089.17,425.00,22.76,88.03,2553.04,47.29
2025-09-18T02:10:00Z,1758129000,60E85BB8254C,9.37,9.37,3105.77,423.00,22.66,88.09,2566.75,43.08
2025-09-18T02:20:00Z,1758129600,60E85BB8254C,11.06,11.06,3259.97,427.00,22.66,87.70,2694.19,50.85
2025-09-18T02:30:00Z,1758130200,60E85BB8254C,9.06,9.06,3224.93,427.00,22.60,87.54,2665.23,41.66
2025-09-18T02:40:00Z,1758130800,60E85BB8254C,7.97,7.97,3173.21,422.00,22.52,87.23,2622.49,36.62
2025-09-18T02:50:00Z,1758131400,60E85BB8254C,7.48,7.48,3139.28,430.00,22.55,86.96,2594.45,34.40
2025-09-18T03:00:00Z,1758132000,60E85BB8254C,5.70,5.70,3105.77,430.00,22.61,86.54,2566.75,26.20
2025-09-18T03:10:00Z,1758132600,60E85BB8254C,6.29,6.29,2897.62,429.00,22.40,87.55,2394.72,28.93
2025-09-18T03:20:00Z,1758133200,60E85BB8254C,6.53,6.53,2821.67,422.00,22.22,88.66,2331.96,30.02
2025-09-18T03:30:00Z,1758133800,60E85BB8254C,7.54,7.54,2944.24,432.00,22.27,88.95,2433.25,34.65
2025-09-18T03:40:00Z,1758134400,60E85BB8254C,8.74,8.74,3122.47,432.00,22.20,89.45,2580.56,40.18
2025-09-18T03:50:00Z,1758135000,60E85BB8254C,12.69,12.69,3207.58,430.00,22.22,89.33,2650.89,58.33
2025-09-18T04:00:00Z,1758135600,60E85BB8254C,12.07,12.07,3295.48,430.00,22.22,89.53,2723.53,55.48
2025-09-18T04:10:00Z,1758136200,60E85BB8254C,13.19,13.20,3331.46,419.00,22.31,88.77,2753.27,60.59
2025-09-18T04:20:00Z,1758136800,60E85BB8254C,10.99,10.99,3367.93,426.00,22.31,89.18,2783.41,50.51
2025-09-18T04:30:00Z,1758137400,60E85BB8254C,11.50,11.50,3423.59,438.00,22.41,88.64,2829.41,52.85
2025-09-18T04:40:00Z,1758138000,60E85BB8254C,12.18,12.18,3461.34,431.00,22.24,88.73,2860.61,56.01
2025-09-18T04:50:00Z,1758138600,60E85BB8254C,11.80,11.80,3461.34,431.00,22.25,88.79,2860.61,54.23
2025-09-18T05:00:00Z,1758139200,60E85BB8254C,12.48,12.48,3499.64,432.00,22.09,88.66,2892.26,57.36
2025-09-18T05:10:00Z,1758139800,60E85BB8254C,9.94,9.94,3499.64,436.00,21.98,89.17,2892.26,45.71
2025-09-18T05:20:00Z,1758140400,60E85BB8254C,9.11,9.11,3617.92,431.00,22.04,88.52,2990.02,41.87
2025-09-18T05:30:00Z,1758141000,60E85BB8254C,8.46,8.46,3538.49,430.00,22.14,87.96,2924.37,38.89
2025-09-18T05:40:00Z,1758141600,60E85BB8254C,6.19,6.19,3367.93,425.00,22.12,87.23,2783.41,28.46
2025-09-18T05:50:00Z,1758142200,60E85BB8254C,5.69,5.69,3089.17,429.00,21.98,87.61,2553.04,26.16
2025-09-18T06:00:00Z,1758142800,60E85BB8254C,7.86,7.86,3122.47,427.00,21.85,87.91,2580.56,36.15
2025-09-18T06:10:00Z,1758143400,60E85BB8254C,7.33,7.33,3295.48,430.00,21.85,88.54,2723.53,33.71
2025-09-18T06:20:00Z,1758144000,60E85BB8254C,6.59,6.59,3577.91,431.00,21.79,88.98,2956.95,30.30
2025-09-18T06:30:00Z,1758144600,60E85BB8254C,7.49,7.49,3699.78,432.00,21.69,89.16,3057.67,34.44
2025-09-18T06:40:00Z,1758145200,60E85BB8254C,6.44,6.44,3720.64,434.00,21.74,89.41,3074.91,29.58
2025-09-18T06:50:00Z,1758145800,60E85BB8254C,6.29,6.29,3720.64,435.00,21.92,89.17,3074.91,28.94
2025-09-18T07:00:00Z,1758146400,60E85BB8254C,7.06,7.06,3762.85,440.00,21.95,89.37,3109.80,32.44
2025-09-18T07:10:00Z,1758147000,60E85BB8254C,7.03,7.03,3762.85,437.00,21.94,89.42,3109.80,32.31
2025-09-18T07:20:00Z,1758147600,60E85BB8254C,6.47,6.47,3741.66,431.00,22.13,88.74,3092.28,29.72
