CALENDAR(GMT 9),TIMESTAMP,MACADDR,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
2025-09-27T00:00:29Z,1758898829,60E85BB834C4,19.13,25.5,2268.81,1164,21.46,82.97,1875.05,169.52
2025-09-27T00:01:29Z,1758898889,60E85BB834C4,19.18,26.03,2268.81,856,21.44,83.1,1875.05,165.84
2025-09-27T00:02:29Z,1758898949,60E85BB834C4,18.31,24.43,2268.81,633,21.41,82.99,1875.05,162.15
2025-09-27T00:03:29Z,1758899009,60E85BB834C4,18.68,24.91,2268.81,493,21.38,82.97,1875.05,165.54
2025-09-27T00:04:29Z,1758899069,60E85BB834C4,19.19,26.01,2268.81,456,21.34,82.91,1875.05,166.24
2025-09-27T00:05:29Z,1758899129,60E85BB834C4,17.16,23.17,2268.81,427,21.33,82.92,1875.05,149.5
2025-09-27T00:06:29Z,1758899189,60E85BB834C4,16.95,22.68,2256.66,914,21.31,82.6,1865.01,149.48
2025-09-27T00:07:29Z,1758899249,60E85BB834C4,17.01,22.85,2256.66,874,21.34,82.48,1865.01,149.17
2025-09-27T00:08:29Z,1758899309,60E85BB834C4,17.54,23.78,2232.51,655,21.32,82.37,1845.05,151.88
2025-09-27T00:09:29Z,1758899369,60E85BB834C4,18.24,24.88,2220.51,518,21.33,82.25,1835.14,156.61
2025-09-27T00:10:29Z,1758899429,60E85BB834C4,17.06,23.18,2208.57,455,21.33,82.28,1825.27,147.23
2025-09-27T00:11:29Z,1758899489,60E85BB834C4,17.35,23.58,2196.69,424,21.3,82.18,1815.44,149.82
2025-09-27T00:12:29Z,1758899549,60E85BB834C4,17,22.68,2220.51,599,21.31,82.21,1835.14,150.6
2025-09-27T00:13:29Z,1758899609,60E85BB834C4,16.59,22.5,2232.51,980,21.33,82.06,1845.05,143.62
2025-09-27T00:14:29Z,1758899669,60E85BB834C4,17.24,23.57,2232.51,803,21.31,82.08,1845.05,147.43
2025-09-27T00:15:29Z,1758899729,60E85BB834C4,17.26,23.31,2220.51,569,21.3,82.14,1835.14,150.25
2025-09-27T00:16:29Z,1758899789,60E85BB834C4,17.64,23.57,2196.69,469,21.31,82.17,1815.44,155.96
2025-09-27T00:17:29Z,1758899849,60E85BB834C4,17.38,23.21,2196.69,441,21.29,82.29,1815.44,153.62
2025-09-27T00:18:29Z,1758899909,60E85BB834C4,18.2,24.38,2196.69,427,21.28,82.27,1815.44,160.17
2025-09-27T00:19:29Z,1758899969,60E85BB834C4,17.49,23.39,2208.57,976,21.3,82.31,1825.27,154.23
2025-09-27T00:20:29Z,1758900029,60E85BB834C4,17.54,23.62,2208.57,804,21.28,82.29,1825.27,153.2
2025-09-27T00:21:29Z,1758900089,60E85BB834C4,17.94,24.01,2196.69,606,21.28,82.3,1815.44,158.12
2025-09-27T00:22:29Z,1758900149,60E85BB834C4,17.65,23.53,2196.69,477,21.27,82.4,1815.44,156.4
2025-09-27T00:23:29Z,1758900209,60E85BB834C4,17.55,23.41,2208.57,455,21.26,82.44,1825.27,155.44
2025-09-27T00:24:29Z,1758900269,60E85BB834C4,19.09,25.9,2220.51,428,21.28,82.48,1835.14,165.1
2025-09-27T00:25:29Z,1758900329,60E85BB834C4,17.98,23.97,2232.51,994,21.26,82.48,1845.05,159.31
2025-09-27T00:26:29Z,1758900389,60E85BB834C4,18.21,24.32,2232.51,822,21.24,82.56,1845.05,160.99
2025-09-27T00:27:29Z,1758900449,60E85BB834C4,17.58,23.45,2232.51,618,21.26,82.7,1845.05,155.66
2025-09-27T00:28:29Z,1758900509,60E85BB834C4,18.49,25.34,2244.56,497,21.26,82.65,1855,157.55
2025-09-27T00:29:29Z,1758900569,60E85BB834C4,18.38,24.57,2244.56,450,21.24,82.7,1855,162.21
2025-09-27T00:30:29Z,1758900629,60E85BB834C4,18.19,24.58,2244.56,426,21.22,82.69,1855,158.26
2025-09-27T00:31:29Z,1758900689,60E85BB834C4,18.14,24.5,2244.56,977,21.22,82.66,1855,157.82
2025-09-27T00:32:29Z,1758900749,60E85BB834C4,18.8,25.57,2256.66,921,21.22,82.58,1865.01,162.07
2025-09-27T00:33:29Z,1758900809,60E85BB834C4,18.32,24.77,2256.66,652,21.21,82.54,1865.01,159.17
2025-09-27T00:34:29Z,1758900869,60E85BB834C4,18.82,25.5,2256.66,493,21.22,82.46,1865.01,163.05
2025-09-27T00:35:29Z,1758900929,60E85BB834C4,18.09,24.33,2256.66,448,21.2,82.51,1865.01,158.45
2025-09-27T00:36:29Z,1758900989,60E85BB834C4,18.49,25,2268.81,431,21.23,82.46,1875.05,160.73
2025-09-27T00:37:29Z,1758901049,60E85BB834C4,17.47,23.66,2268.81,604,21.21,82.48,1875.05,151.38
2025-09-27T00:38:29Z,1758901109,60E85BB834C4,18.56,25.12,2268.81,979,21.22,82.42,1875.05,161.02
2025-09-27T00:39:29Z,1758901169,60E85BB834C4,17.69,23.9,2256.66,755,21.2,82.45,1865.01,153.77
2025-09-27T00:40:29Z,1758901229,60E85BB834C4,18.07,24.16,2256.66,581,21.2,82.49,1865.01,159.65
2025-09-27T00:41:29Z,1758901289,60E85BB834C4,16.83,22.75,2256.66,489,21.2,82.62,1865.01,146.25
2025-09-27T00:42:29Z,1758901349,60E85BB834C4,17.4,23.36,2256.66,443,21.19,82.67,1865.01,152.69
2025-09-27T00:43:29Z,1758901409,60E85BB834C4,17.59,23.61,2256.66,425,21.19,82.86,1865.01,154.43
2025-09-27T00:44:29Z,1758901469,60E85BB834C4,18.78,25.04,2256.66,967,21.18,83.13,1865.01,166.46
2025-09-27T00:45:29Z,1758901529,60E85BB834C4,18.42,24.82,2256.66,883,21.14,83.5,1865.01,160.91
2025-09-27T00:46:29Z,1758901589,60E85BB834C4,18.45,24.76,2268.81,641,21.13,83.63,1875.05,162.03
2025-09-27T00:47:29Z,1758901649,60E85BB834C4,18.32,24.45,2268.81,494,21.13,83.72,1875.05,162.2
2025-09-27T00:48:29Z,1758901709,60E85BB834C4,19.12,25.78,2281.03,452,21.12,83.68,1885.15,166.9
