CALENDAR(GMT 9),TIMESTAMP,MACADDR,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,,,,,
2024-05-25T00:00:25Z,1716562825,60E85BB84C91,16.8,22.76,5153.55,513,20.15,79.07,4259.13,145.66,,,,,
2024-05-25T00:01:25Z,1716562885,60E85BB84C91,16.51,22.43,5118.05,512,20.18,79.03,4229.79,142.57,,,,,
2024-05-25T00:02:25Z,1716562945,60E85BB84C91,16.37,22.06,5118.05,511,20.16,78.99,4229.79,142.97,,,,,
2024-05-25T00:03:25Z,1716563005,60E85BB84C91,16.96,22.86,5118.05,516,20.08,79.26,4229.79,148.09,,,,,464.0590278
2024-05-25T00:04:25Z,1716563065,60E85BB84C91,16.83,22.82,5118.05,517,20.11,79.38,4229.79,145.66,,,,,
2024-05-25T00:05:25Z,1716563125,60E85BB84C91,15.8,21.47,5118.05,519,20.1,79.29,4229.79,136.35,,,,,
2024-05-25T00:06:25Z,1716563185,60E85BB84C91,15.4,20.71,5083,518,20.12,79.2,4200.83,134.88,,,,,
2024-05-25T00:07:25Z,1716563245,60E85BB84C91,15.82,21.33,5083,516,20.05,79.39,4200.83,137.98,,,,,
2024-05-25T00:08:25Z,1716563305,60E85BB84C91,17.26,23.34,5083,511,20.08,79.45,4200.83,149.94,,,,,
2024-05-25T00:09:25Z,1716563365,60E85BB84C91,16.79,22.86,5083,505,20.03,79.52,4200.83,144.45,,,,,
2024-05-25T00:10:25Z,1716563425,60E85BB84C91,16.76,22.74,5083,502,19.98,79.77,4200.83,144.84,,,,,
2024-05-25T00:11:25Z,1716563485,60E85BB84C91,16,21.59,5048.41,504,20.02,79.81,4172.24,139.46,,,,,
2024-05-25T00:12:25Z,1716563545,60E85BB84C91,16.62,22.43,5048.41,505,20.01,79.69,4172.24,144.89,,,,,
2024-05-25T00:13:25Z,1716563605,60E85BB84C91,16.85,23.1,5048.41,509,20.02,79.74,4172.24,143.48,,,,,
2024-05-25T00:14:25Z,1716563665,60E85BB84C91,16.38,22.4,5014.27,520,20.05,79.78,4144.02,140.06,,,,,
2024-05-25T00:15:25Z,1716563725,60E85BB84C91,16.86,22.88,5014.27,521,20.01,79.71,4144.02,145.72,,,,,
2024-05-25T00:16:25Z,1716563785,60E85BB84C91,16.9,23.22,5014.27,519,20.06,79.65,4144.02,143.52,,,,,
2024-05-25T00:17:25Z,1716563845,60E85BB84C91,17.12,23.24,5014.27,520,20.06,79.47,4144.02,147.97,,,,,
2024-05-25T00:18:25Z,1716563905,60E85BB84C91,17.38,23.39,4980.55,516,20.06,79.62,4116.15,152.05,,,,,
2024-05-25T00:19:25Z,1716563965,60E85BB84C91,15.96,21.48,4980.55,507,20.04,79.89,4116.15,139.63,,,,,
2024-05-25T00:20:25Z,1716564025,60E85BB84C91,17.76,24.05,4980.55,506,20,80.03,4116.15,154.04,,,,,
2024-05-25T00:21:25Z,1716564085,60E85BB84C91,17.4,23.55,4980.55,507,20.01,79.95,4116.15,150.93,,,,,
2024-05-25T00:22:25Z,1716564145,60E85BB84C91,16.58,22.45,4947.25,502,20,79.99,4088.63,143.77,,,,,
2024-05-25T00:23:25Z,1716564205,60E85BB84C91,15.9,21.51,4947.25,499,20,79.96,4088.63,138.2,,,,,
2024-05-25T00:24:25Z,1716564265,60E85BB84C91,16.51,22.43,4947.25,499,20.04,79.95,4088.63,142.58,,,,,
2024-05-25T00:25:25Z,1716564325,60E85BB84C91,16.11,21.66,4947.25,506,20.01,80.08,4088.63,141.07,,,,,
2024-05-25T00:26:25Z,1716564385,60E85BB84C91,17.15,22.98,4914.35,518,20.03,80.02,4061.45,150.9,,,,,
2024-05-25T00:27:25Z,1716564445,60E85BB84C91,16.32,22.19,4914.35,539,20,79.97,4061.45,140.82,,,,,
2024-05-25T00:28:25Z,1716564505,60E85BB84C91,17.06,23.14,4914.35,546,20.02,79.85,4061.45,147.63,,,,,
2024-05-25T00:29:25Z,1716564565,60E85BB84C91,17.19,23.31,4914.35,555,20.01,79.95,4061.45,148.76,,,,,
2024-05-25T00:30:25Z,1716564625,60E85BB84C91,17.68,23.81,4914.35,560,20,80.01,4061.45,154.49,,,,,
2024-05-25T00:31:25Z,1716564685,60E85BB84C91,16.05,21.8,4881.86,611,20.02,80.03,4034.6,138.59,,,,,
2024-05-25T00:32:25Z,1716564745,60E85BB84C91,15.9,21.58,4881.86,609,20.02,79.96,4034.6,137.45,,,,,
2024-05-25T00:33:25Z,1716564805,60E85BB84C91,16.67,22.28,4881.86,587,20.01,79.96,4034.6,147.18,,,,,
2024-05-25T00:34:25Z,1716564865,60E85BB84C91,17.12,23.07,4881.86,575,20.02,79.79,4034.6,149.49,,,,,
