CALENDAR(GMT 9),TIMESTAMP,MACADDR,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,,
2024-05-31T00:00:14Z,1717081214,60E85BB84C91,6.09,8.12,2661.8,476,19.33,57.54,2199.84,53.97,,
2024-05-31T00:01:14Z,1717081274,60E85BB84C91,5.68,7.57,2419.17,473,19.24,57.77,1999.31,50.3,,
2024-05-31T00:02:14Z,1717081334,60E85BB84C91,6.24,8.32,2256.66,467,19.29,57.94,1865.01,55.29,,
2024-05-31T00:03:14Z,1717081394,60E85BB84C91,5.96,7.94,2114.92,467,19.31,57.82,1747.87,52.78,,
2024-05-31T00:04:14Z,1717081454,60E85BB84C91,5.9,7.87,2035.57,466,19.29,58.12,1682.29,52.28,,
2024-05-31T00:05:14Z,1717081514,60E85BB84C91,6.35,8.47,1969.38,470,19.22,58.38,1627.58,56.31,,
2024-05-31T00:06:14Z,1717081574,60E85BB84C91,6.67,8.89,1926.14,469,19.18,58.07,1591.85,59.1,,446.6388889
2024-05-31T00:07:14Z,1717081634,60E85BB84C91,5.9,7.86,1883.59,468,19.21,58.24,1556.69,52.25,,
2024-05-31T00:08:14Z,1717081694,60E85BB84C91,5.57,7.42,1831.33,472,19.22,57.87,1513.5,49.34,,
2024-05-31T00:09:14Z,1717081754,60E85BB84C91,6.14,8.18,1800.46,473,19.23,58.14,1487.99,54.37,,
2024-05-31T00:10:14Z,1717081814,60E85BB84C91,6.22,8.29,1759.85,473,19.21,58.42,1454.42,55.12,,
2024-05-31T00:11:14Z,1717081874,60E85BB84C91,5.97,7.97,1749.79,469,19.19,58.66,1446.11,52.95,,
2024-05-31T00:12:14Z,1717081934,60E85BB84C91,5.5,7.34,1739.77,472,19.14,58.86,1437.82,48.78,,
2024-05-31T00:13:14Z,1717081994,60E85BB84C91,5.68,7.57,1729.78,475,19.11,59.51,1429.57,50.35,,
2024-05-31T00:14:14Z,1717082054,60E85BB84C91,5.83,7.77,1719.84,471,19.09,59.44,1421.35,51.65,,
2024-05-31T00:15:14Z,1717082114,60E85BB84C91,5.54,7.39,1729.78,474,19.01,59.63,1429.57,49.12,,
2024-05-31T00:16:14Z,1717082174,60E85BB84C91,5.68,7.58,1739.77,474,18.98,59.68,1437.82,50.38,,
2024-05-31T00:17:14Z,1717082234,60E85BB84C91,5.08,6.78,1739.77,474,18.94,59.89,1437.82,45.04,,
2024-05-31T00:18:14Z,1717082294,60E85BB84C91,5.4,7.21,1729.78,474,18.95,59.94,1429.57,47.89,,
2024-05-31T00:19:14Z,1717082354,60E85BB84C91,5.48,7.3,1719.84,477,18.95,60.07,1421.35,48.54,,
2024-05-31T00:20:14Z,1717082414,60E85BB84C91,6.09,8.12,1700.05,478,18.94,60.07,1405,53.95,,
2024-05-31T00:21:14Z,1717082474,60E85BB84C91,5.44,7.25,1700.05,475,18.97,60.18,1405,48.21,,
2024-05-31T00:22:14Z,1717082534,60E85BB84C91,5.71,7.62,1709.93,479,18.98,60.36,1413.16,50.62,,
2024-05-31T00:23:14Z,1717082594,60E85BB84C91,6.36,8.48,1739.77,482,18.99,60.44,1437.82,56.38,,
