CALENDAR(GMT 9),TIMESTAMP,MACADDR,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
2024-05-21T00:00:56Z,1716217256,60E85BBA74C1,18.12,24.16,12412.84,546.00,18.26,79.00,10258.55,155.72
2024-05-21T00:01:56Z,1716217316,60E85BBA74C1,19.74,26.68,12412.84,542.00,18.22,79.08,10258.55,167.16
2024-05-21T00:02:56Z,1716217376,60E85BBA74C1,19.58,26.59,12412.84,540.00,18.09,79.72,10258.55,164.94
2024-05-21T00:03:56Z,1716217436,60E85BBA74C1,21.29,29.03,12412.84,539.00,18.04,79.86,10258.55,178.37
2024-05-21T00:04:56Z,1716217496,60E85BBA74C1,21.74,29.57,12412.84,528.00,18.08,79.83,10258.55,182.65
2024-05-21T00:05:56Z,1716217556,60E85BBA74C1,20.85,27.97,12412.84,525.00,18.12,79.97,10258.55,178.01
2024-05-21T00:06:56Z,1716217616,60E85BBA74C1,22.15,30.13,12412.84,520.00,18.02,80.28,10258.55,186.20
2024-05-21T00:07:56Z,1716217676,60E85BBA74C1,22.06,30.00,12412.84,522.00,17.92,80.77,10258.55,185.35
2024-05-21T00:08:56Z,1716217736,60E85BBA74C1,21.62,29.49,12412.84,519.00,18.03,80.55,10258.55,181.19
2024-05-21T00:09:56Z,1716217796,60E85BBA74C1,21.92,29.90,11924.11,516.00,17.99,80.93,9854.63,183.55
2024-05-21T00:10:56Z,1716217856,60E85BBA74C1,22.59,30.61,11924.11,510.00,17.99,80.74,9854.63,190.73
2024-05-21T00:11:56Z,1716217916,60E85BBA74C1,22.78,30.92,11924.11,509.00,17.93,81.22,9854.63,191.91
2024-05-21T00:12:56Z,1716217976,60E85BBA74C1,21.43,29.04,11924.11,505.00,18.12,80.43,9854.63,180.90
2024-05-21T00:13:56Z,1716218036,60E85BBA74C1,22.72,30.85,11924.11,503.00,17.98,81.04,9854.63,191.26
2024-05-21T00:14:56Z,1716218096,60E85BBA74C1,22.69,30.76,11510.88,505.00,18.02,80.95,9513.13,191.55
2024-05-21T00:15:56Z,1716218156,60E85BBA74C1,23.27,31.76,11510.88,504.00,18.00,81.21,9513.13,194.71
2024-05-21T00:16:56Z,1716218216,60E85BBA74C1,22.82,31.50,11510.88,501.00,17.99,81.10,9513.13,188.42
