CALENDAR(GMT 9),TIMESTAMP,MACADDR,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,,,,
2024-05-25T00:00:44Z,1716562844,60E85BBA74C1,19.17,25.98,2675.95,460,20.11,79.3,2211.53,161.72,,,,
2024-05-25T00:01:44Z,1716562904,60E85BBA74C1,17.95,24.26,2675.95,458,20.03,79.42,2211.53,151.93,,,,
2024-05-25T00:02:44Z,1716562964,60E85BBA74C1,18.24,24.84,2661.8,459,20.12,79.29,2199.84,153.18,,,,
2024-05-25T00:03:44Z,1716563024,60E85BBA74C1,18.84,25.59,2661.8,456,20.02,79.41,2199.84,158.67,,,,
2024-05-25T00:04:44Z,1716563084,60E85BBA74C1,18.33,24.85,2647.73,454,20.14,79.4,2188.21,154.65,,,,
2024-05-25T00:05:44Z,1716563144,60E85BBA74C1,19.03,25.79,2633.74,454,20.01,79.58,2176.64,160.61,,,,
2024-05-25T00:06:44Z,1716563204,60E85BBA74C1,19.5,26.5,2619.81,455,19.97,79.84,2165.13,164.16,,,,
2024-05-25T00:07:44Z,1716563264,60E85BBA74C1,18.94,25.9,2605.96,453,19.97,79.85,2153.68,158.23,,,,
2024-05-25T00:08:44Z,1716563324,60E85BBA74C1,19.03,25.49,2592.17,456,20,79.74,2142.29,162.69,,,,443.425
2024-05-25T00:09:44Z,1716563384,60E85BBA74C1,17.85,24.39,2578.46,457,20.03,79.74,2130.96,149.16,,,,
2024-05-25T00:10:44Z,1716563444,60E85BBA74C1,18.78,25.4,2578.46,456,19.97,79.99,2130.96,158.81,,,,
2024-05-25T00:11:44Z,1716563504,60E85BBA74C1,17.78,24.05,2564.82,453,20.01,79.88,2119.69,150.41,,,,
2024-05-25T00:12:44Z,1716563564,60E85BBA74C1,18.07,24.51,2551.25,455,20.02,79.93,2108.47,152.3,,,,
2024-05-25T00:13:44Z,1716563624,60E85BBA74C1,19.52,26.5,2551.25,465,19.97,80.03,2108.47,164.41,,,,
2024-05-25T00:14:44Z,1716563684,60E85BBA74C1,20.04,27.27,2537.74,464,19.92,80.06,2097.31,168.39,,,,
2024-05-25T00:15:44Z,1716563744,60E85BBA74C1,18.27,24.91,2524.31,460,19.86,80.26,2086.2,153.15,,,,
2024-05-25T00:16:44Z,1716563804,60E85BBA74C1,19.7,26.62,2510.94,461,19.86,80.47,2075.15,166.81,,,,
2024-05-25T00:17:44Z,1716563864,60E85BBA74C1,20.57,28.14,2497.63,457,19.82,80.7,2064.16,171.81,,,,
2024-05-25T00:18:44Z,1716563924,60E85BBA74C1,19.56,26.7,2458.11,455,19.85,80.71,2031.5,163.76,,,,
2024-05-25T00:19:44Z,1716563984,60E85BBA74C1,19.72,27,2445.07,452,19.84,80.94,2020.72,164.48,,,,
2024-05-25T00:20:44Z,1716564044,60E85BBA74C1,17.94,24.32,2406.31,456,19.85,80.62,1988.69,151.42,,,,
2024-05-25T00:21:44Z,1716564104,60E85BBA74C1,19.23,26.03,2393.52,460,19.9,80.48,1978.11,162.53,,,,
2024-05-25T00:22:44Z,1716564164,60E85BBA74C1,19.1,26.1,2393.52,464,19.94,80.45,1978.11,159.63,,,,
2024-05-25T00:23:44Z,1716564224,60E85BBA74C1,18.28,24.89,2406.31,469,19.88,80.64,1988.69,153.52,,,,
2024-05-25T00:24:44Z,1716564284,60E85BBA74C1,20.14,27.52,2406.31,485,20,80.15,1988.69,168.4,,,,
2024-05-25T00:25:44Z,1716564344,60E85BBA74C1,18.62,25.19,2406.31,485,20.04,79.84,1988.69,157.55,,,,
2024-05-25T00:26:44Z,1716564404,60E85BBA74C1,19.51,26.47,2406.31,499,20.05,79.8,1988.69,164.47,,,,
2024-05-25T00:27:44Z,1716564464,60E85BBA74C1,18.59,24.82,2419.17,515,20.04,79.77,1999.31,159.65,,,,
2024-05-25T00:28:44Z,1716564524,60E85BBA74C1,18.51,24.92,2419.17,522,20.1,79.36,1999.31,157.38,,,,
2024-05-25T00:29:44Z,1716564584,60E85BBA74C1,18.88,25.58,2419.17,540,20.05,79.58,1999.31,159.36,,,,
2024-05-25T00:30:44Z,1716564644,60E85BBA74C1,19.33,26.19,2432.09,537,20.04,79.78,2009.99,163.19,,,,
2024-05-25T00:31:44Z,1716564704,60E85BBA74C1,19.12,25.91,2432.09,530,20.14,79.5,2009.99,161.48,,,,
2024-05-25T00:32:44Z,1716564764,60E85BBA74C1,18.92,25.68,2432.09,515,20.13,79.48,2009.99,159.33,,,,
2024-05-25T00:33:44Z,1716564824,60E85BBA74C1,18.26,24.73,2432.09,515,20.08,79.74,2009.99,154.26,,,,
