CALENDAR(GMT 9),TIMESTAMP,MACADDR,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,,,
2024-10-14T00:00:08Z,1728831608,60E85BBA74C1,5,6.71,205.56,421,19.78,61.19,169.89,42.64,,,
2024-10-14T00:01:08Z,1728831668,60E85BBA74C1,5.58,7.57,194.3,418,19.77,61.45,160.58,46.96,,,
2024-10-14T00:02:08Z,1728831728,60E85BBA74C1,5.04,6.88,183.09,421,19.81,61.16,151.31,42.18,,,
2024-10-14T00:03:08Z,1728831788,60E85BBA74C1,5.42,7.38,171.92,423,19.82,61.35,142.08,45.54,,,
2024-10-14T00:04:08Z,1728831848,60E85BBA74C1,5.15,6.97,166.35,421,19.83,61.1,137.48,43.47,,,
2024-10-14T00:05:08Z,1728831908,60E85BBA74C1,5.51,7.55,160.79,417,19.84,60.82,132.89,45.96,,,428.9270833
2024-10-14T00:06:08Z,1728831968,60E85BBA74C1,5.67,7.74,149.72,411,19.84,61.43,123.73,47.47,,,
2024-10-14T00:07:08Z,1728832028,60E85BBA74C1,5.91,7.95,149.72,419,19.86,61.59,123.73,50.21,,,
2024-10-14T00:08:08Z,1728832088,60E85BBA74C1,5.64,7.67,149.72,417,19.86,61.67,123.73,47.41,,,
2024-10-14T00:09:08Z,1728832148,60E85BBA74C1,5.73,7.65,155.25,415,19.82,61.62,128.31,49.29,,,
2024-10-14T00:10:08Z,1728832208,60E85BBA74C1,5.34,7.13,155.25,421,19.84,61.45,128.31,45.84,,,
2024-10-14T00:11:08Z,1728832268,60E85BBA74C1,5.08,6.86,155.25,423,19.82,60.82,128.31,43.03,,,
2024-10-14T00:12:08Z,1728832328,60E85BBA74C1,4.96,6.61,149.72,421,19.84,60.49,123.73,42.65,,,
2024-10-14T00:13:08Z,1728832388,60E85BBA74C1,4.93,6.64,144.19,418,19.86,60.54,119.17,41.84,,,
2024-10-14T00:14:08Z,1728832448,60E85BBA74C1,4.7,6.27,138.68,420,19.86,60.2,114.62,40.41,,,
2024-10-14T00:15:08Z,1728832508,60E85BBA74C1,4.79,6.39,133.19,422,19.88,60.23,110.07,41.19,,,
2024-10-14T00:16:08Z,1728832568,60E85BBA74C1,4.25,5.76,127.7,422,19.83,59.8,105.54,35.8,,,
2024-10-14T00:17:08Z,1728832628,60E85BBA74C1,4.57,6.22,116.76,418,19.88,59.28,96.49,38.38,,,
