CALENDAR(GMT 9),TIMESTAMP,MACADDR,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,,,,,,
2024-05-25T00:00:56Z,1716562856,60E85BB834C4,17.62,24.09,1769.94,628,20.35,79.08,1462.76,150.74,,,,,,
2024-05-25T00:01:56Z,1716562916,60E85BB834C4,16.99,22.9,1759.85,623,20.4,78.99,1454.42,148.35,,,,,,
2024-05-25T00:02:56Z,1716562976,60E85BB834C4,16.74,22.86,1749.79,606,20.39,78.9,1446.11,143.42,,,,,,
2024-05-25T00:03:56Z,1716563036,60E85BB834C4,16.52,22.43,1749.79,596,20.36,78.89,1446.11,142.78,,,,,,
2024-05-25T00:04:56Z,1716563096,60E85BB834C4,17.49,23.63,1739.77,593,20.35,78.9,1437.82,152.11,,,,,,
2024-05-25T00:05:56Z,1716563156,60E85BB834C4,15.67,21.12,1739.77,595,20.35,78.98,1437.82,136.92,,,,,,
2024-05-25T00:06:56Z,1716563216,60E85BB834C4,17.34,23.71,1739.77,599,20.36,78.91,1437.82,148.26,,,,,,620.6455872
2024-05-25T00:07:56Z,1716563276,60E85BB834C4,16.99,23.03,1739.77,601,20.35,78.96,1437.82,147.1,,,,,,
2024-05-25T00:08:56Z,1716563336,60E85BB834C4,16.09,21.84,1749.79,603,20.33,79.08,1446.11,139.04,,,,,,
2024-05-25T00:09:56Z,1716563396,60E85BB834C4,16.67,22.46,1759.85,602,20.34,79.22,1454.42,145.66,,,,,,
2024-05-25T00:10:56Z,1716563456,60E85BB834C4,17.99,24.29,1739.77,602,20.27,79.38,1437.82,156.68,,,,,,
2024-05-25T00:11:56Z,1716563516,60E85BB834C4,16.44,22.15,1719.84,600,20.3,79.33,1421.35,143.59,,,,,,
2024-05-25T00:12:56Z,1716563576,60E85BB834C4,17.81,24.35,1709.93,598,20.32,79.28,1413.16,152.4,,,,,,
2024-05-25T00:13:56Z,1716563636,60E85BB834C4,16.18,21.98,1700.05,597,20.28,79.33,1405,139.68,,,,,,
2024-05-25T00:14:56Z,1716563696,60E85BB834C4,18.02,24.41,1680.41,597,20.29,79.5,1388.77,156.21,,,,,,
2024-05-25T00:15:56Z,1716563756,60E85BB834C4,17.05,23.22,1680.41,597,20.25,79.64,1388.77,146.78,,,,,,
