CALENDAR(GMT 9),TIMESTAMP,MACADDR,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,
2024-11-11T00:00:09Z,1731250809,60E85BB84CE4,13.36,17.81,122.22,730,13.23,66.46,101.01,118.38,480
2024-11-11T00:01:09Z,1731250869,60E85BB84CE4,14.3,19.07,122.22,589,13.18,66.62,101.01,126.71,687
2024-11-11T00:02:09Z,1731250929,60E85BB84CE4,13.39,17.87,127.7,495,13.18,66.87,105.54,118.46,884
2024-11-11T00:03:09Z,1731250989,60E85BB84CE4,13.26,17.68,133.19,477,13.24,66.53,110.07,117.54,635
2024-11-11T00:04:09Z,1731251049,60E85BB84CE4,13.65,18.2,133.19,466,13.2,66.67,110.07,120.98,521
2024-11-11T00:05:09Z,1731251109,60E85BB84CE4,12.83,17.2,133.19,735,13.21,66.87,110.07,112.9,489
2024-11-11T00:06:09Z,1731251169,60E85BB84CE4,13.59,18.12,138.68,581,13.29,66.94,114.62,120.44,481
2024-11-11T00:07:09Z,1731251229,60E85BB84CE4,14.49,19.32,144.19,494,13.27,66.8,119.17,128.38,1026
2024-11-11T00:08:09Z,1731251289,60E85BB84CE4,13.93,18.7,149.72,468,13.29,66.79,123.73,122.3,740
2024-11-11T00:09:09Z,1731251349,60E85BB84CE4,14.13,18.84,149.72,464,13.25,66.99,123.73,125.18,581
2024-11-11T00:10:09Z,1731251409,60E85BB84CE4,14.21,18.94,155.25,695,13.22,67.58,128.31,125.89,517
2024-11-11T00:11:09Z,1731251469,60E85BB84CE4,13.92,18.56,171.92,652,13.2,67.63,142.08,123.36,494
2024-11-11T00:12:09Z,1731251529,60E85BB84CE4,13.17,17.62,188.69,507,13.24,67.29,155.94,116.13,480
2024-11-11T00:13:09Z,1731251589,60E85BB84CE4,13.85,18.48,251.1,475,13.26,67.51,207.52,122.59,917
2024-11-11T00:14:09Z,1731251649,60E85BB84CE4,12.99,17.33,314.99,467,13.28,67.28,260.33,115.16,726
2024-11-11T00:15:09Z,1731251709,60E85BB84CE4,13.84,18.45,368.43,457,13.27,67.33,304.49,122.63,552
