CALENDAR(GMT 9),TIMESTAMP,MACADDR,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,,,,,
2024-05-24T00:00:32Z,1716476432,60E85BB84CE4,15.62,20.96,374.43,574,17.47,76.32,309.45,137.25,,,,,
2024-05-24T00:01:32Z,1716476492,60E85BB84CE4,16.41,22.14,374.43,632,17.48,76.28,309.45,142.99,,,,,
2024-05-24T00:02:32Z,1716476552,60E85BB84CE4,17.87,24.4,374.43,692,17.53,75.92,309.45,153.13,,,,,
2024-05-24T00:03:32Z,1716476612,60E85BB84CE4,16.34,21.87,374.43,621,17.48,76.52,309.45,144.05,,,,,
2024-05-24T00:04:32Z,1716476672,60E85BB84CE4,15.87,21.39,374.43,628,17.52,76.29,309.45,138.62,,,,,
2024-05-24T00:05:32Z,1716476732,60E85BB84CE4,17.23,23.38,380.45,590,17.49,76.38,314.42,148.89,,,,,
2024-05-24T00:06:32Z,1716476792,60E85BB84CE4,17.31,23.6,380.45,576,17.53,76.25,314.42,148.66,,,,,
2024-05-24T00:07:32Z,1716476852,60E85BB84CE4,17.84,24.11,380.45,663,17.55,76.33,314.42,155.19,,,,,
2024-05-24T00:08:32Z,1716476912,60E85BB84CE4,17.16,23.23,380.45,704,17.58,76.27,314.42,148.87,,,,,679.4916667
2024-05-24T00:09:32Z,1716476972,60E85BB84CE4,16.4,22.24,380.45,646,17.55,76.21,314.42,141.99,,,,,
2024-05-24T00:10:32Z,1716477032,60E85BB84CE4,16,21.53,380.45,582,17.55,76.18,314.42,140.11,,,,,
2024-05-24T00:11:32Z,1716477092,60E85BB84CE4,17.39,23.57,368.43,570,17.58,75.98,304.49,150.67,,,,,
2024-05-24T00:12:32Z,1716477152,60E85BB84CE4,18.4,24.9,356.46,736,17.59,76.16,294.6,159.81,,,,,
2024-05-24T00:13:32Z,1716477212,60E85BB84CE4,17.05,23.28,344.55,687,17.57,76.22,284.75,146.14,,,,,
2024-05-24T00:14:32Z,1716477272,60E85BB84CE4,16.34,22.32,332.69,585,17.58,76.24,274.95,139.99,,,,,
2024-05-24T00:15:32Z,1716477332,60E85BB84CE4,17.01,23.36,326.78,670,17.55,76.22,270.06,144.6,,,,,
2024-05-24T00:16:32Z,1716477392,60E85BB84CE4,17.53,23.9,320.88,686,17.57,76.32,265.19,150.59,,,,,
2024-05-24T00:17:32Z,1716477452,60E85BB84CE4,17.23,23.24,309.12,638,17.6,76.13,255.47,150.19,,,,,
2024-05-24T00:18:32Z,1716477512,60E85BB84CE4,17.45,23.7,309.12,600,17.66,75.99,255.47,150.65,,,,,
2024-05-24T00:19:32Z,1716477572,60E85BB84CE4,16.36,22.13,314.99,584,17.74,75.71,260.33,142.01,,,,,
2024-05-24T00:20:32Z,1716477632,60E85BB84CE4,17.52,23.58,320.88,554,17.65,76.06,265.19,153.24,,,,,
2024-05-24T00:21:32Z,1716477692,60E85BB84CE4,17.73,23.89,320.88,661,17.68,75.95,265.19,154.89,,,,,
2024-05-24T00:22:32Z,1716477752,60E85BB84CE4,17.98,24.41,326.78,762,17.72,75.68,270.06,155.4,,,,,
2024-05-24T00:23:32Z,1716477812,60E85BB84CE4,18.45,25.24,326.78,635,17.74,75.54,270.06,157.59,,,,,
2024-05-24T00:24:32Z,1716477872,60E85BB84CE4,19.32,26.09,326.78,599,17.75,75.49,270.06,168.17,,,,,
2024-05-24T00:25:32Z,1716477932,60E85BB84CE4,19.37,26.09,326.78,650,17.8,75.37,270.06,169.16,,,,,
2024-05-24T00:26:32Z,1716477992,60E85BB84CE4,19.07,25.78,326.78,601,17.72,75.46,270.06,165.84,,,,,
2024-05-24T00:27:32Z,1716478052,60E85BB84CE4,20.34,27.71,326.78,578,17.75,75.36,270.06,174.76,,,,,
2024-05-24T00:28:32Z,1716478112,60E85BB84CE4,19.8,26.88,326.78,662,17.77,75.34,270.06,171.03,,,,,
2024-05-24T00:29:32Z,1716478172,60E85BB84CE4,19.57,26.54,314.99,689,17.71,75.38,260.33,169.46,,,,,
2024-05-24T00:30:32Z,1716478232,60E85BB84CE4,18.22,24.31,309.12,679,17.78,75.39,255.47,161.4,,,,,
2024-05-24T00:31:32Z,1716478292,60E85BB84CE4,19.74,26.67,303.26,604,17.74,75.41,250.63,171.69,,,,,
2024-05-24T00:32:32Z,1716478352,60E85BB84CE4,20.1,27.47,297.42,567,17.73,75.53,245.8,172.09,,,,,
2024-05-24T00:33:32Z,1716478412,60E85BB84CE4,18.89,26.04,291.58,784,17.73,75.32,240.98,159.67,,,,,
2024-05-24T00:34:32Z,1716478472,60E85BB84CE4,18.87,25.84,291.58,763,17.74,75.51,240.98,160.96,,,,,
2024-05-24T00:35:32Z,1716478532,60E85BB84CE4,18.82,25.55,297.42,712,17.8,75.33,245.8,162.65,,,,,
2024-05-24T00:36:32Z,1716478592,60E85BB84CE4,18.87,25.4,303.26,671,17.76,75.31,250.63,164.96,,,,,
2024-05-24T00:37:32Z,1716478652,60E85BB84CE4,19.46,26.39,303.26,596,17.72,75.42,250.63,168.4,,,,,
2024-05-24T00:38:32Z,1716478712,60E85BB84CE4,19.45,26.68,303.26,580,17.77,75.2,250.63,165.51,,,,,
2024-05-24T00:39:32Z,1716478772,60E85BB84CE4,19.31,26.4,297.42,693,17.73,75.45,245.8,165.1,,,,,
2024-05-24T00:40:32Z,1716478832,60E85BB84CE4,18.97,25.88,297.42,623,17.78,75.16,245.8,162.81,,,,,
2024-05-24T00:41:32Z,1716478892,60E85BB84CE4,18.32,24.44,303.26,582,17.76,75.21,250.63,162.32,,,,,
2024-05-24T00:42:32Z,1716478952,60E85BB84CE4,19.11,25.54,303.26,676,17.67,75.41,250.63,168.93,,,,,
2024-05-24T00:43:32Z,1716479012,60E85BB84CE4,17.94,24.23,303.26,707,17.7,75.42,250.63,156.22,,,,,
2024-05-24T00:44:32Z,1716479072,60E85BB84CE4,19.14,25.93,297.42,698,17.66,75.52,245.8,165.82,,,,,
2024-05-24T00:45:32Z,1716479132,60E85BB84CE4,19.88,26.91,297.42,606,17.67,75.44,245.8,172.45,,,,,
2024-05-24T00:46:32Z,1716479192,60E85BB84CE4,20.3,27.5,285.76,575,17.68,75.51,236.17,175.97,,,,,
2024-05-24T00:47:32Z,1716479252,60E85BB84CE4,19.42,25.92,274.16,678,17.63,75.26,226.58,171.74,,,,,
2024-05-24T00:48:32Z,1716479312,60E85BB84CE4,19.29,26.07,256.84,658,17.61,75.15,212.27,167.81,,,,,
2024-05-24T00:49:32Z,1716479372,60E85BB84CE4,19.55,26.38,239.64,653,17.6,74.96,198.05,170.35,,,,,
2024-05-24T00:50:32Z,1716479432,60E85BB84CE4,19.66,26.64,216.88,682,17.61,75.1,179.24,170.28,,,,,
2024-05-24T00:51:32Z,1716479492,60E85BB84CE4,19.8,26.66,211.21,640,17.68,75.01,174.56,173.07,,,,,
2024-05-24T00:52:32Z,1716479552,60E85BB84CE4,19.17,26.04,199.93,566,17.73,74.73,165.23,165.62,,,,,
2024-05-24T00:53:32Z,1716479612,60E85BB84CE4,18.51,24.72,199.93,634,17.69,74.96,165.23,163.68,,,,,
2024-05-24T00:54:32Z,1716479672,60E85BB84CE4,17.86,23.85,199.93,698,17.69,74.71,165.23,158.06,,,,,
2024-05-24T00:55:32Z,1716479732,60E85BB84CE4,19.69,26.35,199.93,615,17.6,75.1,165.23,173.6,,,,,
2024-05-24T00:56:32Z,1716479792,60E85BB84CE4,20.04,27.18,205.56,617,17.59,75.1,169.89,173.44,,,,,
2024-05-24T00:57:32Z,1716479852,60E85BB84CE4,18.82,25.47,199.93,678,17.53,75.15,165.23,163.47,,,,,
2024-05-24T00:58:32Z,1716479912,60E85BB84CE4,18.03,24.3,199.93,701,17.61,75.05,165.23,157.54,,,,,
2024-05-24T00:59:32Z,1716479972,60E85BB84CE4,17.96,24.15,199.93,620,17.57,75.3,165.23,157.28,,,,,
2024-05-24T01:00:32Z,1716480032,60E85BB84CE4,18.02,24.28,199.93,688,17.57,75.25,165.23,157.42,,,,,
2024-05-24T01:01:32Z,1716480092,60E85BB84CE4,18.82,25.32,199.93,686,17.54,75.47,165.23,164.64,,,,,
2024-05-24T01:02:32Z,1716480152,60E85BB84CE4,18.31,24.68,205.56,641,17.54,75.4,169.89,159.79,,,,,
2024-05-24T01:03:32Z,1716480212,60E85BB84CE4,18.24,24.33,211.21,577,17.59,75.32,174.56,161.54,,,,,
2024-05-24T01:04:32Z,1716480272,60E85BB84CE4,17.96,24.08,211.21,588,17.54,75.23,174.56,158.06,,,,,
2024-05-24T01:05:32Z,1716480332,60E85BB84CE4,18.55,24.91,216.88,707,17.55,75.14,179.24,162.78,,,,,
2024-05-24T01:06:32Z,1716480392,60E85BB84CE4,17.65,23.67,216.88,691,17.57,75.09,179.24,155.19,,,,,
