CALENDAR(GMT 9),TIMESTAMP,MACADDR,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,,
2024-06-02T00:00:13Z,1717254013,60E85BB84CE4,5.39,7.19,882.47,860,18.12,60.52,729.32,47.78,,
2024-06-02T00:01:13Z,1717254073,60E85BB84CE4,5.01,6.68,889.75,960,18.08,60.77,735.33,44.42,,
2024-06-02T00:02:13Z,1717254133,60E85BB84CE4,5.11,6.82,882.47,607,18.13,60.42,729.32,45.3,,
2024-06-02T00:03:13Z,1717254193,60E85BB84CE4,4.88,6.5,860.77,535,18.07,60.66,711.38,43.23,,
2024-06-02T00:04:13Z,1717254253,60E85BB84CE4,5.38,7.17,846.39,504,18.05,60.56,699.5,47.65,,
2024-06-02T00:05:13Z,1717254313,60E85BB84CE4,5.01,6.68,846.39,979,18.05,60.86,699.5,44.39,,
2024-06-02T00:06:13Z,1717254373,60E85BB84CE4,4.88,6.5,860.77,701,18,60.96,711.38,43.23,,
2024-06-02T00:07:13Z,1717254433,60E85BB84CE4,4.31,5.74,860.77,565,18.02,60.82,711.38,38.17,,
2024-06-02T00:08:13Z,1717254493,60E85BB84CE4,4.83,6.44,853.57,516,18.07,60.58,705.43,42.79,,705.30625
2024-06-02T00:09:13Z,1717254553,60E85BB84CE4,4.67,6.23,860.77,1071,18.05,60.13,711.38,41.39,,
2024-06-02T00:10:13Z,1717254613,60E85BB84CE4,4.33,5.77,867.98,806,18.09,60.17,717.34,38.34,,
2024-06-02T00:11:13Z,1717254673,60E85BB84CE4,4.44,5.92,853.57,567,18.03,60.28,705.43,39.37,,
2024-06-02T00:12:13Z,1717254733,60E85BB84CE4,4.68,6.24,839.24,512,18.06,60.07,693.58,41.49,,
2024-06-02T00:13:13Z,1717254793,60E85BB84CE4,5.17,6.89,824.98,815,18.08,60.01,681.8,45.79,,
2024-06-02T00:14:13Z,1717254853,60E85BB84CE4,5.13,6.84,824.98,966,18.05,59.75,681.8,45.46,,
2024-06-02T00:15:13Z,1717254913,60E85BB84CE4,4.85,6.47,810.79,612,18.04,59.81,670.08,42.97,,
2024-06-02T00:16:13Z,1717254973,60E85BB84CE4,5.18,6.91,803.73,533,18.05,59.71,664.24,45.95,,
2024-06-02T00:17:13Z,1717255033,60E85BB84CE4,4.59,6.11,796.69,649,18.07,59.57,658.42,40.64,,
2024-06-02T00:18:13Z,1717255093,60E85BB84CE4,4.75,6.33,789.66,1046,18.04,59.92,652.61,42.06,,
2024-06-02T00:19:13Z,1717255153,60E85BB84CE4,4.86,6.48,789.66,642,18.01,59.95,652.61,43.05,,
