CALENDAR(GMT 9),TIMESTAMP,MACADDR,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
2024-10-11T12:49:21Z,1728618561,60E85BB834C4,17.64,23.68,541.83,533,27.41,44.22,447.8,154.84
2024-10-11T12:50:21Z,1728618621,60E85BB834C4,15.96,21.4,497.42,541,27.64,43.91,411.09,140.42
2024-10-11T12:51:21Z,1728618681,60E85BB834C4,15.16,20.33,453.73,544,27.86,43.67,374.98,133.27
2024-10-11T12:52:21Z,1728618741,60E85BB834C4,15.27,20.42,435.22,546,27.94,42.95,359.69,134.83
2024-10-11T12:53:21Z,1728618801,60E85BB834C4,15.54,20.9,422.95,557,28.1,44.08,349.55,136.04
2024-10-11T12:54:21Z,1728618861,60E85BB834C4,15.86,21.16,466.14,556,28.19,43.1,385.24,140.51
2024-10-11T12:55:21Z,1728618921,60E85BB834C4,16.46,22.02,453.73,555,28.23,42.26,374.98,145.08
2024-10-11T12:56:21Z,1728618981,60E85BB834C4,14.96,19.94,429.08,550,28.26,42.56,354.61,132.56
2024-10-11T12:57:21Z,1728619041,60E85BB834C4,16.65,22.22,529.07,549,28.3,41.81,437.25,147.39
2024-10-11T12:58:21Z,1728619101,60E85BB834C4,17.8,23.73,447.55,548,28.09,41.47,369.87,157.74
2024-10-11T12:59:21Z,1728619161,60E85BB834C4,17.05,22.76,380.45,549,28.18,41.72,314.42,150.86
2024-10-11T13:00:21Z,1728619221,60E85BB834C4,15.66,20.93,398.58,547,28.34,41.37,329.41,138.38
2024-10-11T13:01:21Z,1728619281,60E85BB834C4,14.48,19.3,435.22,543,28.48,41.51,359.69,128.29
2024-10-11T13:02:21Z,1728619341,60E85BB834C4,14.08,18.83,522.71,542,28.65,41.27,431.99,124.35
2024-10-11T13:03:21Z,1728619401,60E85BB834C4,15.56,21.26,587,542,28.73,41.11,485.12,133.11
2024-10-11T13:04:21Z,1728619461,60E85BB834C4,16.22,22.05,561.1,544,28.91,40.29,463.72,139.93
2024-10-11T13:05:21Z,1728619521,60E85BB834C4,15.89,21.19,541.83,542,29.04,39.86,447.8,140.78
2024-10-11T13:06:21Z,1728619581,60E85BB834C4,18.94,25.25,478.61,540,29.02,38.34,395.54,167.83
2024-10-11T13:07:21Z,1728619641,60E85BB834C4,17.9,24.3,416.84,540,29.14,38.14,344.5,154.65
2024-10-11T13:08:21Z,1728619701,60E85BB834C4,17.95,23.93,380.45,541,29.21,37.18,314.42,159.01
2024-10-11T13:09:21Z,1728619761,60E85BB834C4,18.69,25.44,356.46,543,29.26,37.17,294.6,160.84
2024-10-11T13:10:21Z,1728619821,60E85BB834C4,16.55,22.13,386.48,542,29.54,37.01,319.41,146.15
2024-10-11T13:11:21Z,1728619881,60E85BB834C4,17.12,22.82,447.55,541,29.52,37,369.87,151.68
2024-10-11T13:12:21Z,1728619941,60E85BB834C4,16.54,22.05,491.14,543,29.43,36.67,405.9,146.55
2024-10-11T13:13:21Z,1728620001,60E85BB834C4,18.42,24.96,510.03,544,29.3,36.47,421.52,159.52
2024-10-11T13:14:21Z,1728620061,60E85BB834C4,19.31,25.89,516.36,548,29.28,36.46,426.75,169.77
2024-10-11T13:15:21Z,1728620121,60E85BB834C4,17.77,23.69,522.71,547,29.6,35.39,431.99,157.48
2024-10-11T13:16:21Z,1728620181,60E85BB834C4,19.03,25.78,529.07,544,29.87,35.07,437.25,165.03
2024-10-11T13:17:21Z,1728620241,60E85BB834C4,20.19,26.93,478.61,540,30.03,34.31,395.54,178.97
2024-10-11T13:18:21Z,1728620301,60E85BB834C4,24.08,32.11,435.22,542,30.04,33.6,359.69,213.44
2024-10-11T13:19:21Z,1728620361,60E85BB834C4,22.29,30.01,380.45,537,30.18,33.45,314.42,194.99
2024-10-11T13:20:21Z,1728620421,60E85BB834C4,22.12,29.49,374.43,536,30.33,33.93,309.45,195.97
2024-10-11T13:21:21Z,1728620481,60E85BB834C4,18.68,24.92,459.93,533,30.04,34.33,380.11,165.44
2024-10-11T13:22:21Z,1728620541,60E85BB834C4,21.98,29.41,587,535,29.78,34.43,485.12,193.94
2024-10-11T13:23:21Z,1728620601,60E85BB834C4,18.75,25,632.93,537,29.44,35.28,523.08,166.16
2024-10-11T13:24:21Z,1728620661,60E85BB834C4,20.66,27.65,593.51,532,29.13,35.69,490.5,182.13
2024-10-11T13:25:21Z,1728620721,60E85BB834C4,20.36,27.43,541.83,530,29.11,36.17,447.8,177.73
2024-10-11T13:26:21Z,1728620781,60E85BB834C4,19.58,26.1,548.24,531,29.29,36.21,453.09,173.48
2024-10-11T13:27:21Z,1728620841,60E85BB834C4,19.55,26.07,606.59,531,29.56,35.88,501.31,173.27
2024-10-11T13:28:21Z,1728620901,60E85BB834C4,18.62,24.86,613.15,532,29.73,35.65,506.73,164.8
2024-10-11T13:29:21Z,1728620961,60E85BB834C4,21.07,28.55,613.15,531,29.72,35.23,506.73,182.67
