CALENDAR(GMT 9),TIMESTAMP,MACADDR,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,,,
2024-10-15T00:00:42Z,1728918042,60E85BB834C4,6.44,8.58,4277.24,515,19.53,78.19,3534.91,57.05,,,
2024-10-15T00:01:42Z,1728918102,60E85BB834C4,6.39,8.52,4251.59,562,19.5,78.3,3513.71,56.62,,,504.8798611
2024-10-15T00:02:42Z,1728918162,60E85BB834C4,6.95,9.27,4251.59,499,19.49,78.33,3513.71,61.59,,,
2024-10-15T00:03:42Z,1728918222,60E85BB834C4,6.27,8.36,4251.59,455,19.52,78.38,3513.71,55.55,,,
2024-10-15T00:04:42Z,1728918282,60E85BB834C4,6.07,8.09,4251.59,551,19.52,78.35,3513.71,53.75,,,
2024-10-15T00:05:42Z,1728918342,60E85BB834C4,6.23,8.3,4277.24,550,19.51,78.39,3534.91,55.17,,,
2024-10-15T00:06:42Z,1728918402,60E85BB834C4,6.24,8.32,4277.24,486,19.5,78.41,3534.91,55.33,,,
2024-10-15T00:07:42Z,1728918462,60E85BB834C4,6.48,8.64,4303.14,466,19.49,78.35,3556.32,57.44,,,
2024-10-15T00:08:42Z,1728918522,60E85BB834C4,6.7,8.93,4329.3,506,19.49,78.31,3577.93,59.39,,,
2024-10-15T00:09:42Z,1728918582,60E85BB834C4,7.16,9.55,4329.3,557,19.46,78.38,3577.93,63.46,,,
2024-10-15T00:10:42Z,1728918642,60E85BB834C4,6.86,9.15,4355.71,495,19.5,78.3,3599.76,60.81,,,
2024-10-15T00:11:42Z,1728918702,60E85BB834C4,6.33,8.44,4329.3,456,19.5,78.41,3577.93,56.13,,,
2024-10-15T00:12:42Z,1728918762,60E85BB834C4,6.7,8.93,4303.14,544,19.48,78.57,3556.32,59.35,,,
2024-10-15T00:13:42Z,1728918822,60E85BB834C4,6.79,9.05,4303.14,552,19.47,78.72,3556.32,60.15,,,
2024-10-15T00:14:42Z,1728918882,60E85BB834C4,6.25,8.33,4251.59,473,19.5,78.82,3513.71,55.38,,,
2024-10-15T00:15:42Z,1728918942,60E85BB834C4,6.56,8.74,4226.18,445,19.46,78.89,3492.71,58.1,,,
2024-10-15T00:16:42Z,1728919002,60E85BB834C4,6.86,9.14,4201.01,597,19.45,78.91,3471.91,60.78,,,
2024-10-15T00:17:42Z,1728919062,60E85BB834C4,7.08,9.44,4176.08,552,19.43,78.84,3451.3,62.72,,,
2024-10-15T00:18:42Z,1728919122,60E85BB834C4,6.87,9.16,4151.37,464,19.43,78.88,3430.88,60.87,,,
2024-10-15T00:19:42Z,1728919182,60E85BB834C4,6.95,9.26,4126.89,442,19.43,78.85,3410.65,61.55,,,
2024-10-15T00:20:42Z,1728919242,60E85BB834C4,6.34,8.46,4126.89,593,19.43,78.85,3410.65,56.2,,,
2024-10-15T00:21:42Z,1728919302,60E85BB834C4,7.12,9.49,4126.89,556,19.41,78.78,3410.65,63.11,,,
2024-10-15T00:22:42Z,1728919362,60E85BB834C4,6.3,8.4,4126.89,481,19.42,78.92,3410.65,55.85,,,
2024-10-15T00:23:42Z,1728919422,60E85BB834C4,7.19,9.58,4126.89,449,19.42,78.91,3410.65,63.7,,,
2024-10-15T00:24:42Z,1728919482,60E85BB834C4,6.64,8.85,4102.63,565,19.39,78.97,3390.6,58.81,,,
2024-10-15T00:25:42Z,1728919542,60E85BB834C4,6.42,8.55,4126.89,554,19.4,79.04,3410.65,56.86,,,
2024-10-15T00:26:42Z,1728919602,60E85BB834C4,6.99,9.32,4126.89,506,19.42,78.99,3410.65,61.96,,,
2024-10-15T00:27:42Z,1728919662,60E85BB834C4,6.82,9.09,4126.89,455,19.42,79,3410.65,60.43,,,
2024-10-15T00:28:42Z,1728919722,60E85BB834C4,6.41,8.54,4126.89,494,19.42,78.99,3410.65,56.78,,,
2024-10-15T00:29:42Z,1728919782,60E85BB834C4,7.2,9.6,4176.08,570,19.42,79.01,3451.3,63.8,,,
2024-10-15T00:30:42Z,1728919842,60E85BB834C4,6.63,8.84,4176.08,490,19.43,78.96,3451.3,58.76,,,
2024-10-15T00:31:42Z,1728919902,60E85BB834C4,7.48,9.97,4176.08,459,19.39,79.06,3451.3,66.27,,,
2024-10-15T00:32:42Z,1728919962,60E85BB834C4,7.56,10.08,4176.08,513,19.41,79.07,3451.3,66.97,,,
2024-10-15T00:33:42Z,1728920022,60E85BB834C4,6.51,8.68,4201.01,569,19.42,79.1,3471.91,57.67,,,
2024-10-15T00:34:42Z,1728920082,60E85BB834C4,6.35,8.47,4201.01,491,19.42,79.11,3471.91,56.29,,,
2024-10-15T00:35:42Z,1728920142,60E85BB834C4,6.88,9.17,4226.18,463,19.41,79.18,3492.71,60.96,,,
2024-10-15T00:36:42Z,1728920202,60E85BB834C4,6.6,8.8,4251.59,532,19.45,79.06,3513.71,58.52,,,
2024-10-15T00:37:42Z,1728920262,60E85BB834C4,6.33,8.44,4277.24,559,19.41,79.27,3534.91,56.08,,,
2024-10-15T00:38:42Z,1728920322,60E85BB834C4,6.57,8.77,4277.24,481,19.42,79.32,3534.91,58.27,,,
