CALENDAR(GMT 9),TIMESTAMP,MACADDR,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,,,,
2024-10-17T00:00:06Z,1729090806,60E85BB834C4,30.65,43.12,2537.74,486,16.37,76.58,2097.31,250.99,,,,
2024-10-17T00:01:06Z,1729090866,60E85BB834C4,29.74,41.69,2458.11,456,16.33,76.74,2031.5,245,,,,
2024-10-17T00:02:06Z,1729090926,60E85BB834C4,28.83,40.27,2432.09,477,16.34,76.63,2009.99,238.71,,,,
2024-10-17T00:03:06Z,1729090986,60E85BB834C4,30.26,42.16,2432.09,593,16.34,76.72,2009.99,251.72,,,,
2024-10-17T00:04:06Z,1729091046,60E85BB834C4,31.51,44.05,2445.07,508,16.33,77.07,2020.72,260.58,,,,
2024-10-17T00:05:06Z,1729091106,60E85BB834C4,32.06,44.41,2471.22,479,16.31,76.96,2042.33,269.01,,,,501.9340278
2024-10-17T00:06:06Z,1729091166,60E85BB834C4,31.59,43.99,2484.4,458,16.27,76.72,2053.22,262.95,,,,
2024-10-17T00:07:06Z,1729091226,60E85BB834C4,29.68,41.32,2484.4,466,16.27,76.92,2053.22,247.01,,,,
2024-10-17T00:08:06Z,1729091286,60E85BB834C4,29.85,42.05,2471.22,575,16.25,76.94,2042.33,244.1,,,,
2024-10-17T00:09:06Z,1729091346,60E85BB834C4,30.67,42.6,2471.22,520,16.23,77.01,2042.33,256.24,,,,
2024-10-17T00:10:06Z,1729091406,60E85BB834C4,28.74,39.85,2484.4,468,16.22,77.35,2053.22,240.76,,,,
2024-10-17T00:11:06Z,1729091466,60E85BB834C4,29.33,40.95,2510.94,457,16.21,77.49,2075.15,243.23,,,,
2024-10-17T00:12:06Z,1729091526,60E85BB834C4,29.79,41.28,2510.94,465,16.18,77.49,2075.15,249.64,,,,
2024-10-17T00:13:06Z,1729091586,60E85BB834C4,30.44,42.82,2537.74,561,16.18,77.14,2097.31,249.41,,,,
2024-10-17T00:14:06Z,1729091646,60E85BB834C4,31.41,44.83,2551.25,507,16.21,77.17,2108.47,251.5,,,,
2024-10-17T00:15:06Z,1729091706,60E85BB834C4,31.72,44.53,2537.74,475,16.18,77.38,2097.31,260.7,,,,
2024-10-17T00:16:06Z,1729091766,60E85BB834C4,30.84,43.32,2537.74,459,16.16,77.4,2097.31,253.35,,,,
2024-10-17T00:17:06Z,1729091826,60E85BB834C4,29.8,41.61,2537.74,459,16.18,77.36,2097.31,246.93,,,,
2024-10-17T00:18:06Z,1729091886,60E85BB834C4,30.95,42.88,2551.25,558,16.12,77.51,2108.47,259.58,,,,
2024-10-17T00:19:06Z,1729091946,60E85BB834C4,30.52,42.49,2564.82,512,16.13,77.76,2119.69,254.01,,,,
