,feature,id.x,formula,compound,pubchem,ionmass,NPC_pathway,NPC_superclass,NPC_class,ClassyFire_superclass,ClassyFire_class,ClassyFire_subclass,ClassyFire_level5,ClassyFire_most_specific,datafile.E2_B_3.mzML.area,datafile.E2_G_1.mzML.area,datafile.E2_B_5.mzML.area,datafile.E2_G_4.mzML.area,datafile.E2_G_2.mzML.area,datafile.E2_B_4.mzML.area,datafile.E2_S_3.mzML.area,datafile.E2_G_5.mzML.area,datafile.E2_B_1.mzML.area,datafile.E2_S_4.mzML.area,datafile.E2_C_1.mzML.area,datafile.E2_C_2.mzML.area,datafile.E2_G_3.mzML.area,datafile.E2_C_3.mzML.area,datafile.E1_B_5.mzML.area,datafile.E1_B_4.mzML.area,datafile.E2_S_5.mzML.area,datafile.E2_S_2.mzML.area,datafile.E1_B_3.mzML.area,datafile.E2_B_2.mzML.area,datafile.E2_S_1.mzML.area,datafile.A2_B_4.mzML.area,datafile.A2_G_2.mzML.area,datafile.E1_B_1.mzML.area,datafile.A1_S_5.mzML.area,datafile.A2_G_4.mzML.area,datafile.E1_B_2.mzML.area,datafile.A1_B_2.mzML.area,datafile.A1_G_5.mzML.area,datafile.A1_G_4.mzML.area,datafile.A1_G_3.mzML.area,datafile.A1_S_3.mzML.area,datafile.A1_B_4.mzML.area,datafile.A2_G_1.mzML.area,datafile.A1_B_3.mzML.area,datafile.A1_B_1.mzML.area,datafile.A1_S_4.mzML.area,datafile.A1_G_1.mzML.area,datafile.A1_B_5.mzML.area,datafile.E1_G_3.mzML.area,datafile.E1_G_5.mzML.area,datafile.A2_G_3.mzML.area,datafile.E1_G_4.mzML.area,datafile.A2_C_1.mzML.area,datafile.A1_G_2.mzML.area,datafile.A2_B_2.mzML.area,datafile.E1_C_1.mzML.area,datafile.A2_S_4.mzML.area,datafile.A2_C_3.mzML.area,datafile.E1_S_3.mzML.area,datafile.A2_S_5.mzML.area,datafile.E1_G_1.mzML.area,datafile.A1_C_3.mzML.area,datafile.A1_C_2.mzML.area,datafile.A1_C_1.mzML.area,datafile.E1_S_4.mzML.area,datafile.E1_G_6.mzML.area,datafile.A2_S_3.mzML.area,datafile.A2_B_1.mzML.area,datafile.E1_C_3.mzML.area,datafile.E1_S_2.mzML.area,datafile.A2_G_5.mzML.area,datafile.A2_B_5.mzML.area,datafile.E1_S_5.mzML.area,datafile.E1_C_2.mzML.area,datafile.A1_S_2.mzML.area,datafile.A1_S_1.mzML.area,datafile.E1_G_2.mzML.area,datafile.A2_C_2.mzML.area,datafile.A2_S_1.mzML.area,datafile.A2_B_3.mzML.area,datafile.E1_S_1.mzML.area,datafile.A2_S_2.mzML.area
1,1000.62419_24.8412,12505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13695.98396,11826.6787,14714.18147,18660.58772,14300.8164,11882.72953,16127.9029,13883.92596,12897.33268,19517.12735,14019.52322,15820.00565,15386.54756,15987.32369,12843.18838,6909.720912,17731.23914,17090.74748,8419.306428,22183.76656,15931.43679,7831.273589,19121.67802,12365.99752,14006.32514,17465.12306,14618.32361,20084.96984,20973.21933,19895.24612,22437.86375,23858.33659,20457.07517,22965.99581,17474.60144,16541.03242,16369.62149,25363.58789,22201.3579,17444.40331,15519.71662,17757.0653,10841.02068,21827.50697,18518.75579,21056.439,14283.2722,23475.07014,23909.45086,19303.37651,21623.07639,15459.08099,23690.84157,21772.49302,28467.33344,12688.36552,15815.08666,24249.09864,16339.26805,11103.9946,16967.32531,20529.62643,23635.75398,17108.65828,20540.78489,26752.9117,21659.57499,19516.80211,24545.1675,22783.93155,20702.99853,20174.02695,23246.58437
2,1009.54126_20.4863,8496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3616.841742,525.3402948,2995.558117,678.0078601,659.0965227,1420.914395,1792.942396,1624.824897,4954.062573,6384.346703,976.4419795,1866.461234,2573.589097,414.428682,1109.824095,2731.750128,8000.726053,9121.291459,4367.910854,1914.325031,6415.850255,725.2184611,592.2025102,4994.694911,16788.99628,704.5304098,693.2440418,3024.403418,102.2306606,570.968739,581.1789866,4656.697798,3831.505133,315.4145602,12642.28712,5427.701486,15382.34859,137.6880486,7545.0399,3534.67222,1354.599095,187.872631,2352.639452,1.095208579,237.6007736,7971.44736,90.67713715,8929.275128,1.052352591,4718.603147,7376.437792,611.166091,491.3283285,266.9175419,0.916822333,4173.329703,360.7193106,3215.817386,3209.285642,226.2883025,330.7406005,396.9680404,8371.486163,4373.317883,623.0922806,13685.54566,3204.163079,203.4578007,299.4708468,3700.098267,9235.073548,3198.090968,2337.42544
3,101.02427_0.6384,1446,C4H5O3-,4-hydroxybut-2-enoic acid,6604732;19770800;6155526;153704933;188975;73653336,101.024,Carbohydrates,Saccharides,Monosaccharides,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Ketones,Ketones,22934.8697,23344.16318,44219.23071,26614.76083,24603.07843,23107.48326,27059.58176,18336.44666,17487.46918,25332.26724,29348.79262,29264.51518,60318.8013,26512.95852,26455.65467,15737.69283,26168.1002,27628.48522,23105.61538,53289.04789,23086.99684,4.524132633,48071.69145,27483.73836,3.20584233,36748.06514,32716.28754,39559.28553,58178.07845,46191.72563,42333.82874,32208.7544,40968.29824,46469.86072,45830.4177,36661.28259,32603.89104,37286.88978,61249.98377,34605.33506,45686.55535,41130.37021,32360.89452,56195.15217,42548.73509,46271.89401,48544.90121,51392.42064,53491.08219,39301.7225,55586.37159,31637.87685,39592.08612,54190.31202,61362.91874,36421.42205,46031.18476,47400.46443,50989.99087,47810.30293,48163.73322,60577.36426,52024.13676,49546.58598,62069.36752,38165.45846,41058.32656,36301.04724,64922.02304,51332.56428,52159.40959,46747.38434,50025.37287
4,101.07186_0.5995,1138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3143.582526,2264.84762,2748.244839,2408.699293,2184.576045,2666.368577,3137.342813,2054.544917,1441.873386,1754.797945,3102.526775,2343.556673,2931.986663,3361.412414,2628.678879,1250.378275,2224.93396,3110.733956,2189.540991,2614.443904,3235.601344,875.8720778,5015.988914,2518.125926,3459.103874,4099.633832,3523.734925,3354.156655,4567.354074,3873.544132,4603.45343,2313.221331,2812.441727,3977.186813,2462.098178,3428.759772,3372.651586,2834.924452,3371.466408,2188.18234,2840.087366,3510.426695,2257.033219,2727.069361,2799.144328,3431.756383,2598.097599,3485.780602,3129.696605,2805.040621,4765.495627,1540.978545,2502.936405,3851.366882,3890.077159,2439.45353,4024.475426,3834.866731,3351.522138,4415.381512,3661.421669,3478.373105,2770.243636,5144.754801,3561.9291,2501.249832,4315.069647,3316.935272,3993.678082,3042.693272,2852.690997,4227.651142,3376.872257
5,1011.55623_21.1705,9286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5160.591658,0.96623192,562.8773525,129.9994918,479.7378644,1362.94986,444.9879591,84.13193173,1158.33953,759.9680172,80.70132124,83.79113402,122.5425102,0.970104593,996.308697,305.7149775,2622.342387,894.2290006,141.8733193,1531.259991,1694.790875,4.524132633,127.6216687,1.123160538,250.8571623,148.5389132,269.7440174,709.3580558,1179.881424,1164.102414,432.1227905,6551.533806,720.4919065,75.59598001,4728.521655,4552.989263,7033.523161,527.3693818,8038.179762,1172.045847,347.5834793,258.5464155,1.210205479,84.62676688,437.4152755,303.4036272,1.139016922,1903.278979,145.7508338,505.6502102,1137.648538,72.28697821,119.7625381,89.80172882,155.8597966,248.9565558,622.1063436,4919.102867,1390.092812,1.149838935,416.9952456,104.454409,4427.294216,198.7168449,1.090275207,6612.619802,1124.20553,307.4382461,1.1001868,3879.529363,5175.749634,592.7842254,2043.784375
6,1013.57195_21.3384,9222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6175.983573,425.9150302,1999.594955,489.8404275,547.0306087,3797.460301,983.3608878,928.4713696,3190.620303,910.4232238,415.8706102,347.0420167,268.6508878,623.0011695,1176.432303,994.9797249,3215.227815,1084.904462,780.3963488,3182.54036,2965.884032,773.6266803,864.6173907,533.2766233,4081.037286,636.6383846,994.0460057,2108.422207,1894.426436,2115.421446,691.5459883,4984.31771,2579.605774,938.4293558,8448.042468,3373.622997,6410.108102,701.5809969,7780.539344,1526.385289,1140.605679,490.2855334,939.2404726,87.03622575,797.0813787,1631.788797,923.2871168,2952.123728,83.13585468,1918.355418,2464.720542,896.7844433,1199.638197,211.7859589,177.4968037,2319.184662,515.3133009,3584.727606,3267.853611,274.2365861,770.3263484,731.4905103,5574.784593,1648.974041,897.7326052,7329.708157,2418.637764,507.5187292,336.547142,2299.772179,9029.651216,1741.121639,4268.434623
7,1015.67972_23.453,11534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,586.014946,1655.155278,851.697084,1332.202,1003.62828,1566.609035,3040.526374,929.3342612,994.9617906,1528.140817,1355.849256,1405.335518,2001.134902,2136.170313,1439.112562,1237.322117,1414.442061,1591.556402,1858.130875,1539.261349,1613.271837,1212.919959,3651.757283,2055.383784,1358.956564,3367.484625,1458.956626,3638.3884,3783.339408,3322.080536,4564.203523,4148.411497,4163.973216,3815.826082,3317.962299,3947.419263,3617.877433,4537.425095,3467.075157,2937.201407,1250.718796,3521.504091,1844.353151,4751.014814,3708.975067,3943.110811,2848.681322,4605.58519,4770.314294,3535.956802,4226.026457,3473.363669,3626.087603,3891.707065,3861.655666,1145.560963,2992.981293,4397.229872,2739.546626,1821.344874,2972.949218,1407.863773,3580.640342,2723.238631,4155.038813,4217.887074,4072.141954,2603.604854,5240.189726,3960.464241,3410.010716,3261.848135,5168.508325
8,1016.4083_20.8008,8853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3800.832331,0.96623192,790.4439116,0.975972161,0.886597421,3448.88979,73.56823791,2373.814812,5370.719031,5042.864697,1.047796952,0.998107612,337.9738142,0.970104593,0.938143783,861.0034502,2977.335995,2664.008589,81.47475659,600.2019076,2955.819953,4.524132633,0.862891607,850.5694753,3.20584233,1.0043199,85.38059569,588.1154518,1.10269292,0.886597421,0.934521606,3518.240215,600.0669854,1.014847362,194.5687122,1733.537579,330.0198495,0.96623192,1452.246575,1.090275207,568.2252337,1.107739569,1.210205479,1.095208579,0.870651424,253.9726992,1.139016922,3329.280134,1.052352591,1375.560288,1446.707877,0.985910778,1.006407883,1.120560629,0.916822333,1019.278652,0.86753081,5318.605642,1.195264671,1.149838935,0.977943822,1.032158191,3702.150851,4328.004253,1.090275207,3205.023549,0.886597421,1.023429581,1.1001868,1585.865477,4203.119547,5128.122731,2925.771489
9,1018.41142_20.7995,8869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1403.051231,0.96623192,108.5110972,0.975972161,0.886597421,1431.097353,1.225524536,912.9393207,1951.024119,2045.042141,1.047796952,0.998107612,0.98191114,0.970104593,0.938143783,343.0756778,1336.988911,1095.800203,0.930927292,175.729837,1155.35625,4.524132633,0.862891607,99.29862314,3.20584233,1.0043199,0.958578598,107.5639512,1.10269292,0.886597421,0.934521606,1574.995988,1.082957923,1.014847362,0.850759564,674.0704342,0.796187815,0.96623192,117.8503631,1.090275207,1.038802987,1.107739569,1.210205479,1.095208579,0.870651424,1.136343173,1.139016922,1479.464048,1.052352591,386.4269972,451.9577443,0.985910778,1.006407883,1.120560629,0.916822333,277.6206359,0.86753081,2251.252126,1.195264671,1.149838935,0.977943822,1.032158191,1350.334535,1933.013136,1.090275207,1342.876336,0.886597421,1.023429581,1.1001868,545.7759475,1696.967093,2237.797839,1132.007587
10,1018.8534_1.3521,3264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4872.306938,2123.77776,3964.68108,3225.587992,3462.162928,4083.366449,4692.533449,3425.679682,5165.848532,5027.480729,2620.540177,3292.757012,3016.431021,3764.975924,3057.410587,2806.0698,5305.540822,6030.014183,2947.315806,3109.527963,5106.513599,4.524132633,4757.121432,4237.684709,4501.002631,4350.713807,3893.746263,4607.663064,2793.121166,3604.018516,2773.660126,6132.284051,5558.823021,3029.319376,5271.306257,7380.851642,5529.524378,3128.658956,5919.691169,3292.631124,4210.268505,3577.998809,3413.989658,3386.384925,3947.533557,5610.126246,2459.137534,8328.546625,4697.701965,4426.236674,6407.165669,3302.801105,4229.932333,3503.993087,3039.266034,4037.024987,4766.214268,8828.651423,4875.484593,5143.229558,3266.332365,5113.31168,7517.972825,6224.545443,3968.601752,5377.211616,5780.615184,3154.209968,3208.144707,2241.743399,7084.391043,7103.020648,4396.104652
